Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,710p-01,Ethernet18,l3spine,core-7280SR-48C6,Ethernet1,True
leaf,710p-02,Ethernet18,l3spine,core-7280SR-48C6,Ethernet3,True
leaf,710p-03,Ethernet18,l3spine,core-7280SR-48C6,Ethernet5,True
leaf,710p-04,Ethernet18,l3spine,core-7280SR-48C6,Ethernet7,True
leaf,710p-05,Ethernet18,l3spine,core-7280SR-48C6,Ethernet9,True
leaf,710p-06,Ethernet18,l3spine,core-7280SR-48C6,Ethernet11,True
leaf,710p-07,Ethernet18,l3spine,core-7280SR-48C6,Ethernet13,True
leaf,710p-08,Ethernet18,l3spine,core-7280SR-48C6,Ethernet15,True
leaf,710p-09,Ethernet18,l3spine,core-7280SR-48C6,Ethernet17,True
leaf,710p-10,Ethernet18,l3spine,core-7280SR-48C6,Ethernet19,True
leaf,710p-11,Ethernet18,l3spine,core-7280SR-48C6,Ethernet25,True
leaf,710p-12,Ethernet18,l3spine,core-7280SR-48C6,Ethernet27,True
leaf,710p-13,Ethernet18,l3spine,core-7280SR-48C6,Ethernet29,True
leaf,710p-14,Ethernet18,l3spine,core-7280SR-48C6,Ethernet31,True
leaf,710p-15,Ethernet18,l3spine,core-7280SR-48C6,Ethernet33,True
leaf,710p-16,Ethernet18,l3spine,core-7280SR-48C6,Ethernet35,True
leaf,710p-17,Ethernet18,l3spine,core-7280SR-48C6,Ethernet37,True
leaf,710p-18,Ethernet18,l3spine,core-7280SR-48C6,Ethernet39,True
leaf,710p-19,Ethernet18,l3spine,core-7280SR-48C6,Ethernet41,True
leaf,710p-20,Ethernet18,l3spine,core-7280SR-48C6,Ethernet43,True
leaf,710p-24,Ethernet18,l3spine,core-7280SR-48C6,Ethernet47,True
l3spine,core-7280SR-48C6,Ethernet1,leaf,710p-01,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet3,leaf,710p-02,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet5,leaf,710p-03,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet7,leaf,710p-04,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet9,leaf,710p-05,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet11,leaf,710p-06,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet13,leaf,710p-07,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet15,leaf,710p-08,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet17,leaf,710p-09,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet19,leaf,710p-10,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet25,leaf,710p-11,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet27,leaf,710p-12,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet29,leaf,710p-13,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet31,leaf,710p-14,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet33,leaf,710p-15,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet35,leaf,710p-16,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet37,leaf,710p-17,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet39,leaf,710p-18,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet41,leaf,710p-19,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet43,leaf,710p-20,Ethernet18,True
l3spine,core-7280SR-48C6,Ethernet47,leaf,710p-24,Ethernet18,True
